"chrom" "length"
"1" 1 59578282
"12" 2 59640629
"19" 3 62628489
"20" 4 78093715
"21" 5 72500376
"22" 6 60270059
"23" 7 74282399
"24" 8 54304671
"25" 9 56459846
"2" 10 45420867
"3" 11 45484837
"4" 12 49182954
"5" 13 52186027
"6" 14 52660232
"7" 15 48040578
"8" 16 55266484
"9" 17 53461100
"10" 18 51023478
"11" 19 48449771
"13" 20 55201332
"14" 21 45934066
"15" 22 39133080
"16" 23 46223584
"17" 24 42172926
"18" 25 37502051
